date	html	pdf	abstract	epdf
2012-03-01	31	16	9	0
2012-04-01	32	17	4	0
2012-05-01	18	16	6	0
2012-06-01	25	7	7	0
2012-07-01	34	7	4	0
2012-08-01	43	17	6	0
2012-09-01	32	18	4	0
2012-10-01	42	11	2	0
2012-11-01	36	16	3	0
2012-12-01	26	1	6	0
2013-01-01	36	10	5	0
2013-02-01	54	11	4	0
2013-03-01	75	15	5	0
2013-04-01	46	12	8	0
2013-05-01	32	7	3	0
2013-06-01	23	5	6	0
2013-07-01	27	8	4	0
2013-08-01	40	4	4	0
2013-09-01	34	4	0	0
2013-10-01	64	7	0	0
2013-11-01	34	4	1	0
2013-12-01	38	20	1	0
2014-01-01	28	8	2	0
2014-02-01	43	4	3	0
2014-03-01	46	11	1	0
2014-04-01	40	5	2	0
2014-05-01	45	2	4	0
2014-06-01	73	13	3	0
2014-07-01	74	12	11	0
2014-08-01	85	9	4	0
2014-09-01	63	8	1	0
2014-10-01	51	21	1	0
2014-11-01	67	27	0	0
2014-12-01	48	36	3	0
2015-01-01	69	17	1	0
2015-02-01	37	20	2	0
2015-03-01	68	8	2	0
2015-04-01	32	2	2	0
2015-05-01	30	15	6	1
2015-06-01	47	25	3	6
2015-07-01	45	14	0	1
2015-08-01	55	11	0	0
2015-09-01	42	13	1	0
2015-10-01	81	15	5	0
2015-11-01	36	6	3	1
2015-12-01	56	14	0	0
2016-01-01	42	13	2	1
2016-02-01	45	13	1	0
2016-03-01	40	7	0	0
2016-04-01	44	17	1	0
