date	html	pdf	abstract	epdf
2013-10-01	28	12	10	0
2013-11-01	17	13	6	0
2013-12-01	16	4	0	0
2014-01-01	19	16	3	0
2014-02-01	18	11	1	0
2014-03-01	25	15	1	0
2014-04-01	19	7	4	0
2014-05-01	24	14	1	0
2014-06-01	14	4	1	0
2014-07-01	43	18	19	0
2014-08-01	45	7	3	0
2014-09-01	19	9	2	0
2014-10-01	17	3	1	0
2014-11-01	19	7	4	0
2014-12-01	45	5	2	0
2015-01-01	52	6	8	0
2015-02-01	14	7	2	0
2015-03-01	22	7	2	0
2015-04-01	18	7	1	0
2015-05-01	46	19	5	1
2015-06-01	13	7	2	3
2015-07-01	12	4	0	0
2015-08-01	16	10	0	0
2015-09-01	16	11	0	0
2015-10-01	19	7	2	0
2015-11-01	12	9	2	0
2015-12-01	22	10	0	0
2016-01-01	21	9	1	0
2016-02-01	16	9	0	0
2016-03-01	19	10	0	0
2016-04-01	22	5	0	0
